Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
Fireblocks,https://www.crunchbase.com/organization/fireblocks,"Blockchain, Computer, Cyber Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2018-01-01,year,,,2019-06-11,16000000,USD,16000000,Series A,16000000,USD,16000000,Early Stage Venture,"CyberStarts, Eight Roads Ventures, MState, Tenaya Capital",4
NEAR Protocol,https://www.crunchbase.com/organization/near-0565,"Blockchain, Information Technology, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-06-01,day,,,2019-07-10,12100000,USD,12100000,Series A,12100000,USD,12100000,Early Stage Venture,"Amplify Partners, Coinbase Ventures, Electric Capital, MetaStable Capital, Pantera Capital",7
ErisX,https://www.crunchbase.com/organization/erisx,"Blockchain, Financial Services, FinTech, Information Technology, Insurance","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2018-01-01,year,,,2019-04-30,20000000,USD,20000000,Series B,20000000,USD,20000000,Early Stage Venture,"Bitmain, ConsenSys, Dragonfly Capital Partners, Pantera Capital, Valor Equity Partners",22
Proxy,https://www.crunchbase.com/organization/martians,"Augmented Reality, Blockchain, Consumer, Identity Management, Information Technology, Mobile, Mobile Apps, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-01-01,year,,,2019-03-27,13600000,USD,13600000,Series A,13600000,USD,13600000,Early Stage Venture,"Blackbird Ventures (Australia), Coatue Management, Justin Mateen, Kleiner Perkins, Y Combinator",9
Propy,https://www.crunchbase.com/organization/propy,"Apps, Blockchain, Real Estate, Real Estate Investment, Software","Palo Alto, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2016-01-07,day,,,2019-06-11,,,,Venture - Series Unknown,,,,,Second Century Ventures,1
dfuse,https://www.crunchbase.com/organization/dfuse-5725,"Blockchain, Internet, Software","Montréal, Quebec, Canada",,2018-05-01,month,,,2019-06-26,3500000,USD,3500000,Seed,3500000,USD,3500000,Seed,"Diagram Ventures, Intel Capital, Multicoin Capital, Panache Ventures, White Star Capital",6
Marlin Labs,https://www.crunchbase.com/organization/marlin-protocol,"Blockchain, Internet, Social Media","Singapore, Central Region, Singapore","Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia",,,,,2019-07-10,3000000,USD,3000000,Seed,3000000,USD,3000000,Seed,"Binance Labs, DHVC, Electric Capital, Jehan Chu, NEO Global Capital (NGC)",6
Cadence,https://www.crunchbase.com/organization/cadence,"Blockchain, Financial Services, FinTech, Funding Platform, SaaS","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2018-05-01,month,,,2019-01-31,2000000,USD,2000000,Pre-Seed,2000000,USD,2000000,Seed,"Argo Ventures, Coinbase Ventures, Fantail Ventures, INBlockchain, Recharge Capital",5
Voatz,https://www.crunchbase.com/organization/voatz,"Blockchain, Cyber Security, Government, Mobile, Mobile Apps, Politics","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2015-01-01,year,,,2019-06-06,7000000,USD,7000000,Series A,7000000,USD,7000000,Early Stage Venture,"MassChallenge, Medici Ventures, Right Side Capital Management, Techstars, Tom Williams",12
R3,https://www.crunchbase.com/organization/r3-cev,"Blockchain, Finance, Financial Services","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-01-01,year,,,2018-05-31,5000000,USD,5000000,Venture - Series Unknown,5000000,USD,5000000,,"Banco Bilbao Vizcaya Argentaria, Citigroup, Credit Suisse, Ping An, Temasek Holdings",43
