Organization,Categories,Location,FundingAmount,FundingType,EquityAmount,Status,Investors,Founded,Period,Quarter,investor_1,investor_2,investor_3,investor_4,investor_5,region_1,region_2,region_3
Recorded Future,"Analytics, Cyber Security, Machine Learning, Real Time","Somerville, Massachusetts, United States",25000000.0,Series E,25000000.0,M&A,8.0,2009.0,2017-10,20174Q,Balderton Capital, GV, IA Ventures, Insight Partners, MassMutual Ventures,Greater Boston Area, East Coast, New England
Bitdefender,"Cloud Security, Cyber Security, Network Security, Software","Bucharest, Bucuresti, Romania",180000000.0,Secondary Market,7000000.0,,3.0,2001.0,2017-12,20174Q,Balkan Accession Fund, Romanian-American Enterprise Fund, Vitruvian Partners,,,European Union (EU),,
Duo Security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, SaaS","Ann Arbor, Michigan, United States",70000000.0,Series D,70000000.0,M&A,12.0,2009.0,2017-10,20174Q,GV, Index Ventures, Redpoint, True Ventures, Workday,Great Lakes, Midwestern US,
ForgeRock,"Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy","San Francisco, California, United States",88000000.0,Series D,88000000.0,Late Stage Venture,4.0,2010.0,2017-09,20173Q,Accel, Foundation Capital, Kohlberg Kravis Roberts, Meritech Capital Partners,,San Francisco Bay Area, West Coast, Western US
Threat Stack,"Cloud Security, SaaS, Security","Boston, Massachusetts, United States",45000000.0,Series C,45000000.0,Late Stage Venture,8.0,2012.0,2017-09,20173Q,Atlas Venture, Eight Roads Ventures, Right Side Capital Management, Scale Venture Partners, Techstars,Greater Boston Area, East Coast, New England
Skybox Security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, Security, Software","San Jose, California, United States",150000000.0,Private Equity,150000000.0,Private Equity,14.0,2002.0,2017-10,20174Q,CVC Capital Partners, Lightspeed Venture Partners, Providence Equity Partners, Rembrandt Venture Partners, Susquehanna Growth Equity,San Francisco Bay Area, Silicon Valley, West Coast
Huobi,"Bitcoin, Blockchain, Cryptocurrency, FinTech","Singapore, Central Region, Singapore",1000000.0,Initial Coin Offering,1000000.0,,1.0,2013.0,2017-11,20174Q,Node Capital,,,,,Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN), Southeast Asia
Bitwise Asset Management,"Blockchain, Cryptocurrency, Financial Services, Software","San Francisco, California, United States",4000000.0,Seed,4000000.0,Seed,15.0,2017.0,2017-12,20174Q,Blockchain Capital, Collaborative Fund, Elad Gil, General Catalyst, Khosla Ventures,San Francisco Bay Area, West Coast, Western US
Instart,"Advertising, Cloud Computing, Cyber Security, Digital Marketing, Digital Media, Internet, Mobile, Software","Palo Alto, California, United States",30000000.0,Series E,30000000.0,Late Stage Venture,12.0,2010.0,2017-11,20174Q,Andreessen Horowitz, Greylock Partners, StartX (Stanford-StartX Fund), Sutter Hill Ventures, Tenaya Capital,San Francisco Bay Area, Silicon Valley, West Coast
Lastline,"Network Security, Security","Redwood City, California, United States",28500000.0,Series C,28500000.0,Late Stage Venture,9.0,2011.0,2017-07,20173Q,Barracuda Networks, Dell Technologies Capital, OUP (Osage University Partners), Redpoint, WatchGuard,San Francisco Bay Area, Silicon Valley, West Coast
Intezer,"Cyber Security, Security","Tel Aviv, Tel Aviv, Israel",8000000.0,Series A,8000000.0,Early Stage Venture,5.0,2015.0,2017-10,20174Q,Alon N. Cohen, FilesX, Intel Capital, Magma Venture Partners, Samsung NEXT,,,
Flashpoint,"Business Intelligence, Cyber Security, Information Technology, Security, Software, Telecommunications","New York, New York, United States",28000000.0,Series C,28000000.0,Late Stage Venture,9.0,2010.0,2017-07,20173Q,Bloomberg Beta, Georgian Partners, Greycroft, Jump Capital, K2 Intelligence,Greater New York Area, East Coast, Northeastern US
IdentityMind,"Analytics, Artificial Intelligence, Compliance, FinTech, Fraud Detection, Identity Management, Machine Learning, Risk Management, SaaS","Palo Alto, California, United States",10000000.0,Series C,10000000.0,Late Stage Venture,16.0,2013.0,2017-11,20174Q,Benhamou Global Ventures, Fortress Investment Group, FortRoss Ventures, Medici Ventures, Overstock,San Francisco Bay Area, Silicon Valley, West Coast
Airfox,"Cryptocurrency, Financial Services, FinTech, Mobile, Wireless","Boston, Massachusetts, United States",15000000.0,Initial Coin Offering,15000000.0,,7.0,2016.0,2017-10,20174Q,LaunchCapital, Project 11 Ventures, Right Side Capital Management, Techstars, Techstars Boston Accelerator,Greater Boston Area, East Coast, New England
