Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
ConsenSys,https://www.crunchbase.com/organization/consensus-systems,"Cryptocurrency, FinTech, Mobile, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-10-01,day,,,2019-07-02,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,,SK Group,1
Robinhood,https://www.crunchbase.com/organization/robinhood,"Bitcoin, Cryptocurrency, Ethereum, Finance, Financial Services, FinTech, Mobile, Personal Finance","Menlo Park, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-04-01,,,,Secondary Market,,,,,"Andreessen Horowitz, DST Global, LocalGlobe, Sequoia Capital, Susa Ventures",41
Coinbase,https://www.crunchbase.com/organization/coinbase,"Bitcoin, Blockchain, Cryptocurrency, E-Commerce, Ethereum, FinTech, Personal Finance, Virtual Currency","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2012-06-01,day,,,2018-12-05,,,,Series F,,,,Late Stage Venture,"Andreessen Horowitz, Battery Ventures, Blockchain Capital, Union Square Ventures, Y Combinator",53
Helium,https://www.crunchbase.com/organization/helium-systems-inc,"Blockchain, Cryptocurrency, Internet of Things, Telecommunications, Wireless","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2013-07-01,day,,,2019-06-12,15000000,USD,15000000,Series C,15000000,USD,15000000,Late Stage Venture,"GV, Khosla Ventures, Marc Benioff, Multicoin Capital, Union Square Ventures",14
Bitmain,https://www.crunchbase.com/organization/bitmain,"Application Specific Integrated Circuit (ASIC), Bitcoin, Electronics, Manufacturing, Semiconductor","Beijing, Beijing, China",Asia-Pacific (APAC),2013-01-01,year,,,2018-08-07,422000000,USD,422000000,Series B,422000000,USD,422000000,Early Stage Venture,"Coatue Management, IDG Capital, Newegg, Sequoia Capital China, Temasek Holdings",12
Anchorage,https://www.crunchbase.com/organization/anchorage,"Blockchain, Cryptocurrency, Financial Services, FinTech, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2017-01-01,year,,,2019-07-10,40000000,USD,40000000,Series B,40000000,USD,40000000,Early Stage Venture,"Andreessen Horowitz, Blockchain Capital, Khosla Ventures, Polychain, Visa",10
Binance Labs,https://www.crunchbase.com/organization/binance-labs,"Cryptocurrency, Ethereum","Valletta, NA - Malta, Malta",European Union (EU),2017-07-01,day,,,2017-11-01,,,,Initial Coin Offering,,,,,,
Chainalysis,https://www.crunchbase.com/organization/chainalysis,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2014-10-01,day,,,2019-04-16,6000000,USD,6000000,Series B,6000000,USD,6000000,Early Stage Venture,"Accel, FundersClub, Mitsubishi UFJ Financial Group, Point Nine Capital, Techstars",10
Ripple,https://www.crunchbase.com/organization/ripple-labs,"Blockchain, Cryptocurrency, Financial Services, FinTech, Internet, Payments","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2012-01-01,year,,,2018-02-13,,,,Series B,,,,Early Stage Venture,"Accenture, Andreessen Horowitz, Blockchain Capital, CRCM Ventures, Lightspeed Venture Partners",29
Circle,https://www.crunchbase.com/organization/circle-2,"Banking, Blockchain, Cryptocurrency, Finance, Financial Services, FinTech, Payments, Personal Finance","Boston, Massachusetts, United States","Greater Boston Area, East Coast, New England",2013-01-01,year,,,2018-08-30,,,,Secondary Market,,,,,"Bitmain, Blockchain Capital, CICC, CreditEase, Fenway Summer Ventures",26
Coinsquare,https://www.crunchbase.com/organization/coinsquare,"Bitcoin, Blockchain, Cryptocurrency, Financial Services, FinTech, Trading Platform","Toronto, Ontario, Canada",Great Lakes,2014-01-01,year,,,2018-02-08,36000000,CAD,28595098,Series B,36000000,CAD,28595098,Early Stage Venture,"Canaccord Genuity Group, Riot Blockchain",2
Kraken,https://www.crunchbase.com/organization/kraken,"Bitcoin, Cryptocurrency, Financial Exchanges, Financial Services, FinTech, Trading Platform","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2011-07-01,month,,,2019-05-21,13500000,EUR,15072010,Equity Crowdfunding,13500000,EUR,15072010,,"BnkToTheFuture, Tyr Capital",2
Republic,https://www.crunchbase.com/organization/republic-co,"Blockchain, Crowdfunding, Cryptocurrency, Finance, Venture Capital","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-07-01,month,,,2018-06-28,,,,Initial Coin Offering,,,,,"Binance, David Lam, East Chain Co., FBG Capital, ZhenFund",6
BitPay,https://www.crunchbase.com/organization/bitpay,"Bitcoin, Finance, FinTech, Payments, Peer to Peer","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2011-05-01,day,,,2018-04-02,10000000,USD,10000000,Series B,10000000,USD,10000000,Early Stage Venture,"Felicis Ventures, Founders Fund, Index Ventures, Menlo Ventures, SeedInvest",27
Blockchain,https://www.crunchbase.com/organization/blockchain-info,"Bitcoin, Blockchain, Finance, FinTech","London, England, United Kingdom",European Union (EU),2011-08-01,day,,,2019-03-27,,,,Venture - Series Unknown,,,,,"GV, Lightspeed Venture Partners, Mosaic Ventures, Virgin Group, Wicklow Capital",17
Polkadot,https://www.crunchbase.com/organization/polkadot,"Bitcoin, Finance, Software, Web Development","Manchester, Manchester, United Kingdom",European Union (EU),,,,,2019-06-27,,,,Initial Coin Offering,,,,,"Distributed Global, Fabric Ventures, Kenetic, Nirvana Capital, Polychain",6
