Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,"Cyber Security, Machine Learning, Network Security, SaaS, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,2019-06-12,day,2018-06-19,200000000,USD,200000000,Series E,200000000,USD,200000000,IPO,"Accel, General Atlantic, IVP (Institutional Venture Partners), March Capital Partners, Warburg Pincus",10
Symantec,https://www.crunchbase.com/organization/symantec,"Computer, Cyber Security, Information Technology, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",1982-01-01,year,1989-06-30,day,2018-08-16,670000000,USD,670000000,Post-IPO Secondary,500000000,USD,500000000,IPO,"Kleiner Perkins, National Science Foundation, Sequoia Capital, Silver Lake Partners, Starboard Value",5
"Valimail, Inc.",https://www.crunchbase.com/organization/valimail,"Cyber Security, Email, Internet","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2015-03-01,day,,,2019-06-19,45000000,USD,45000000,Series C,45000000,USD,45000000,Late Stage Venture,"Bloomberg Beta, Flybridge Capital Partners, Insight Partners, Shasta Ventures, Tenaya Capital",6
Digital Shadows,https://www.crunchbase.com/organization/digital-shadows,"Analytics, Artificial Intelligence, Cyber Security, Risk Management","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2011-05-17,day,,,2019-07-09,10000000,USD,10000000,Series C,10000000,USD,10000000,Late Stage Venture,"National Australia Bank, Octopus Ventures, Passion Capital, Storm Ventures, Trinity Ventures",7
Exabeam,https://www.crunchbase.com/organization/exabeam,"Analytics, Big Data, Cyber Security, Enterprise Software, Information Technology, Real Time, Security","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-05-07,75000000,USD,75000000,Series E,75000000,USD,75000000,Late Stage Venture,"Aspect Ventures, Icon Ventures, Lightspeed Venture Partners, Norwest Venture Partners, Sapphire Ventures",7
SecurityScorecard,https://www.crunchbase.com/organization/security-scorecard,"Cloud Computing, Cloud Infrastructure, Cyber Security, Information Technology, Risk Management, SaaS, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2013-01-01,year,,,2019-06-13,50000000,USD,50000000,Series D,50000000,USD,50000000,Late Stage Venture,"GV, Intel Capital, Moody's Investors Service, Sequoia Capital, Two Sigma Ventures",13
Recorded Future,https://www.crunchbase.com/organization/recorded-future,"Analytics, Cyber Security, Machine Learning, Real Time","Somerville, Massachusetts, United States","Greater Boston Area, East Coast, New England",2009-01-01,year,2019-05-30,day,2017-10-31,25000000,USD,25000000,Series E,25000000,USD,25000000,M&A,"Balderton Capital, GV, IA Ventures, Insight Partners, MassMutual Ventures",8
Cylance,https://www.crunchbase.com/organization/cylance,"Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",2012-07-04,day,2018-11-16,day,2018-06-20,120000000,USD,120000000,Series E,120000000,USD,120000000,M&A,"Blackstone Group, Dell Technologies Capital, Insight Partners, Khosla Ventures, Kohlberg Kravis Roberts",13
SentinelOne,https://www.crunchbase.com/organization/sentinel,"Computer, Cyber Security, Network Security, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-06-05,120000000,USD,120000000,Series D,120000000,USD,120000000,Late Stage Venture,"Accel, Insight Partners, Redpoint, The Westly Group, Tiger Global Management",14
Netskope,https://www.crunchbase.com/organization/netskope,"Cloud Security, Cyber Security, Enterprise Software, Software","Santa Clara, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-10-08,day,,,2018-11-13,168700000,USD,168700000,Series F,168700000,USD,168700000,Late Stage Venture,"Accel, Dell Technologies Capital, ICONIQ Capital, Lightspeed Venture Partners, Sapphire Ventures",8
enSilo,https://www.crunchbase.com/organization/ensilo,Cyber Security,"San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2014-08-01,month,,,2019-07-11,23500000,USD,23500000,Series B,23500000,USD,23500000,Early Stage Venture,"Counterview Capital, Lightspeed Venture Partners, O.G. Tech Ventures, Rembrandt Venture Partners, Viola Ventures",5
Darktrace,https://www.crunchbase.com/organization/darktrace,"Artificial Intelligence, Cyber Security, Information Technology, Machine Learning","Cambridge, Cambridgeshire, United Kingdom",European Union (EU),2013-01-01,year,,,2018-09-26,50000000,USD,50000000,Series E,50000000,USD,50000000,Late Stage Venture,"Insight Partners, Kohlberg Kravis Roberts, SoftBank, Summit Partners, Talis Capital",11
Zscaler,https://www.crunchbase.com/organization/zscaler,"Cloud Security, Cyber Security, Enterprise Software, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2008-01-01,year,2018-03-16,day,2017-08-08,,,,Secondary Market,110000000,USD,110000000,IPO,"CapitalG, EquityZen, Lightspeed Venture Partners, TPG Growth",4
TrapX Security,https://www.crunchbase.com/organization/trapx-security,"Cloud Security, Computer Vision, Cyber Security, Network Security, Real Time, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-01-01,year,,,2019-07-01,18000000,USD,18000000,Series C,18000000,USD,18000000,Late Stage Venture,"BRM Capital, Intel Capital, Liberty Technology Venture Capital, Opus Capital, Strategic Cyber Ventures",7
NowSecure,https://www.crunchbase.com/organization/nowsecure,"Apps, Cyber Security, Mobile, Penetration Testing, Security, Software","Chicago, Illinois, United States","Greater Chicago Area, Great Lakes, Midwestern US",2009-01-01,year,,,2019-06-28,15000000,USD,15000000,Series B,15000000,USD,15000000,Early Stage Venture,"Baird Capital, ForgePoint Capital, Jump Capital, MATH Venture Partners",4
Bitdefender,https://www.crunchbase.com/organization/bitdefender,"Cloud Security, Cyber Security, Network Security, Software","Bucharest, Bucuresti, Romania",European Union (EU),2001-01-01,year,,,2017-12-01,180000000,USD,180000000,Secondary Market,7000000,USD,7000000,,"Balkan Accession Fund, Romanian-American Enterprise Fund, Vitruvian Partners",3
Privitar,https://www.crunchbase.com/organization/privitar,"Big Data, Cyber Security, Enterprise Software, Privacy","London, England, United Kingdom",European Union (EU),2014-11-15,day,,,2019-06-10,40000000,USD,40000000,Series B,40000000,USD,40000000,Early Stage Venture,"Accel, Citigroup, IQ Capital, Partech, Salesforce Ventures",14
Agari,https://www.crunchbase.com/organization/agari-data,"Cyber Security, Fraud Detection, Network Security, SaaS, Security","Foster City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2009-01-01,year,,,2018-06-21,40000000,USD,40000000,Series E,40000000,USD,40000000,Late Stage Venture,"Battery Ventures, First Round Capital, Goldman Sachs, Norwest Venture Partners, Scale Venture Partners",9
Fireblocks,https://www.crunchbase.com/organization/fireblocks,"Blockchain, Computer, Cyber Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2018-01-01,year,,,2019-06-11,16000000,USD,16000000,Series A,16000000,USD,16000000,Early Stage Venture,"CyberStarts, Eight Roads Ventures, MState, Tenaya Capital",4
