Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
OneLogin,https://www.crunchbase.com/organization/onelogin,"Big Data, Cloud Security, Enterprise Software, Identity Management, Information Technology, SaaS, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2009-01-01,year,,,2019-01-10,100000000,USD,100000000,Series D,100000000,USD,100000000,Late Stage Venture,"CRV, Greenspring Associates, Jim Patterson, Scale Venture Partners, Social Capital",8
Auth0,https://www.crunchbase.com/organization/auth0,"Developer APIs, Enterprise Software, Identity Management, Information Technology, Internet, Software","Bellevue, Washington, United States","Greater Seattle Area, West Coast, Western US",2013-02-01,day,,,2019-05-20,103000000,USD,103000000,Series E,103000000,USD,103000000,Late Stage Venture,"Bessemer Venture Partners, NTT DoCoMo, Sapphire Ventures, Silicon Valley Bank, Trinity Ventures",13
Dashlane,https://www.crunchbase.com/organization/dashlane,"Cloud Computing, Identity Management, Payments, Privacy, Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2009-07-06,day,,,2019-05-30,110000000,USD,110000000,Series D,110000000,USD,110000000,Late Stage Venture,"Bessemer Venture Partners, Hercules Capital, Inc., Sequoia Capital, Silicon Valley Bank, TransUnion",9
Onfido,https://www.crunchbase.com/organization/onfido,"Artificial Intelligence, Identity Management, Information Technology, Security, Software","London, England, United Kingdom",European Union (EU),2012-07-01,month,,,2019-04-03,50000000,USD,50000000,Series C,50000000,USD,50000000,Late Stage Venture,"Augmentum Fintech, Idinvest Partners, Plug and Play, Salesforce Ventures, SoftBank",35
ForgeRock,https://www.crunchbase.com/organization/forgerock,"Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2010-02-01,day,,,2017-09-05,88000000,USD,88000000,Series D,88000000,USD,88000000,Late Stage Venture,"Accel, Foundation Capital, Kohlberg Kravis Roberts, Meritech Capital Partners",4
Trulioo,https://www.crunchbase.com/organization/trulioo,"Big Data, Compliance, Finance, Financial Services, FinTech, Identity Management, SaaS, Security","Vancouver, British Columbia, Canada",,2011-01-01,year,,,2018-07-31,10000000,CAD,7680998,Series B,10000000,CAD,7680998,Early Stage Venture,"American Express Ventures, BDC Venture Capital, Blumberg Capital, Tenfore Holdings, UST Global",6
Proxy,https://www.crunchbase.com/organization/martians,"Augmented Reality, Blockchain, Consumer, Identity Management, Information Technology, Mobile, Mobile Apps, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2016-01-01,year,,,2019-03-27,13600000,USD,13600000,Series A,13600000,USD,13600000,Early Stage Venture,"Blackbird Ventures (Australia), Coatue Management, Justin Mateen, Kleiner Perkins, Y Combinator",9
Drawbridge,https://www.crunchbase.com/organization/drawbridge,"Analytics, Artificial Intelligence, Big Data, Digital Marketing, Identity Management, Machine Learning, Mobile, Personalization, SaaS","San Mateo, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,2019-05-28,day,2018-08-20,15000000,USD,15000000,Venture - Series Unknown,15000000,USD,15000000,M&A,"Ericsson Ventures, Kleiner Perkins, Mitsui & Co, Northgate Capital, Sequoia Capital",5
Signicat,https://www.crunchbase.com/organization/signicat,"Cloud Security, Document Management, E-Signature, FinTech, Identity Management, Security","Trondheim, Sor-Trondelag, Norway","Nordic Countries, Scandinavia",2006-02-17,day,2019-04-11,day,2018-01-25,1600000,EUR,1982622,Grant,1358462,EUR,1433496,M&A,"EASME - EU Executive Agency for SMEs, Horizon 2020, SIH - Secure Identity Holding, Viking Venture Management",4
Berbix,https://www.crunchbase.com/organization/berbix,"Developer APIs, Fraud Detection, Identity Management, Internet, SaaS","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2018-01-01,month,,,2019-07-17,2500000,USD,2500000,Seed,2500000,USD,2500000,Seed,"Dream Machine, Fika Ventures, Initialized Capital, Liquid 2 Ventures, Y Combinator",5
