Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
CrowdStrike,https://www.crunchbase.com/organization/crowdstrike,"Cyber Security, Machine Learning, Network Security, SaaS, Security","Sunnyvale, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2011-01-01,year,2019-06-12,day,2018-06-19,200000000,USD,200000000,Series E,200000000,USD,200000000,IPO,"Accel, General Atlantic, IVP (Institutional Venture Partners), March Capital Partners, Warburg Pincus",10
BigID,https://www.crunchbase.com/organization/bigid,"Big Data, Network Security, Security","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2016-02-01,day,,,2019-07-15,50000013,USD,50000013,Series C,50000013,USD,50000013,Late Stage Venture,"Comcast Ventures, Information Venture Partners, Plug and Play, SAP.iO Fund, Scale Venture Partners",9
Cylance,https://www.crunchbase.com/organization/cylance,"Artificial Intelligence, Consulting, Cyber Security, Enterprise Software, Machine Learning, Network Security, Penetration Testing","Irvine, California, United States","Greater Los Angeles Area, West Coast, Western US",2012-07-04,day,2018-11-16,day,2018-06-20,120000000,USD,120000000,Series E,120000000,USD,120000000,M&A,"Blackstone Group, Dell Technologies Capital, Insight Partners, Khosla Ventures, Kohlberg Kravis Roberts",13
SentinelOne,https://www.crunchbase.com/organization/sentinel,"Computer, Cyber Security, Network Security, Security","Mountain View, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2013-01-01,year,,,2019-06-05,120000000,USD,120000000,Series D,120000000,USD,120000000,Late Stage Venture,"Accel, Insight Partners, Redpoint, The Westly Group, Tiger Global Management",14
TrapX Security,https://www.crunchbase.com/organization/trapx-security,"Cloud Security, Computer Vision, Cyber Security, Network Security, Real Time, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2012-01-01,year,,,2019-07-01,18000000,USD,18000000,Series C,18000000,USD,18000000,Late Stage Venture,"BRM Capital, Intel Capital, Liberty Technology Venture Capital, Opus Capital, Strategic Cyber Ventures",7
Bitdefender,https://www.crunchbase.com/organization/bitdefender,"Cloud Security, Cyber Security, Network Security, Software","Bucharest, Bucuresti, Romania",European Union (EU),2001-01-01,year,,,2017-12-01,180000000,USD,180000000,Secondary Market,7000000,USD,7000000,,"Balkan Accession Fund, Romanian-American Enterprise Fund, Vitruvian Partners",3
Agari,https://www.crunchbase.com/organization/agari-data,"Cyber Security, Fraud Detection, Network Security, SaaS, Security","Foster City, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2009-01-01,year,,,2018-06-21,40000000,USD,40000000,Series E,40000000,USD,40000000,Late Stage Venture,"Battery Ventures, First Round Capital, Goldman Sachs, Norwest Venture Partners, Scale Venture Partners",9
Duo Security,https://www.crunchbase.com/organization/duo-security,"Cloud Security, Cyber Security, Enterprise Software, Network Security, SaaS","Ann Arbor, Michigan, United States","Great Lakes, Midwestern US",2009-01-01,year,2018-08-02,day,2017-10-18,70000000,USD,70000000,Series D,70000000,USD,70000000,M&A,"GV, Index Ventures, Redpoint, True Ventures, Workday",12
Vectra AI,https://www.crunchbase.com/organization/vectra-networks,"Artificial Intelligence, Cyber Security, Network Security, Security","San Jose, California, United States","San Francisco Bay Area, Silicon Valley, West Coast",2010-01-01,year,,,2019-06-10,100000000,USD,100000000,Series E,100000000,USD,100000000,Late Stage Venture,"Accel, Intel Capital, Juniper Networks, Khosla Ventures, TCV",13
Cato Networks,https://www.crunchbase.com/organization/cato-networks,"Cloud Computing, Mobile, Network Security","Tel Aviv, Tel Aviv, Israel",,2015-02-01,day,,,2019-01-29,55000000,USD,55000000,Series C,55000000,USD,55000000,Late Stage Venture,"Aspect Ventures, Greylock Partners, Lightspeed Venture Partners, Singtel Innov8, U.S. Venture Partners (USVP)",7
