Organization Name,Organization Name URL,Categories,Headquarters Location,Headquarters Regions,Founded Date,Founded Date Precision,Exit Date,Exit Date Precision,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Funding Status,Top 5 Investors,Number of Investors
OneTrust,https://www.crunchbase.com/organization/onetrust,"Compliance, Computer, Marketing, Privacy, Software","Atlanta, Georgia, United States","Greater Atlanta Area, East Coast, Southern US",2016-01-01,year,,,2019-07-11,200000000,USD,200000000,Series A,200000000,USD,200000000,Early Stage Venture,Insight Partners,1
TrustArc,https://www.crunchbase.com/organization/truste,"Compliance, Enterprise Software, Mobile, Privacy, Software","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",1997-01-01,year,,,2019-07-10,70000000,USD,70000000,Series D,70000000,USD,70000000,Late Stage Venture,"Accel, Bregal Sagemount, DAG Ventures, Icon Ventures, Industry Ventures",6
GoTenna,https://www.crunchbase.com/organization/gotenna,"Consumer Electronics, Hardware, Messaging, Mobile, Privacy, Software","Brooklyn, New York, United States","Greater New York Area, East Coast, Northeastern US",2012-11-01,day,,,2019-06-18,24000000,USD,24000000,Series C,24000000,USD,24000000,Late Stage Venture,"Collaborative Fund, Comcast Ventures, Founders Fund, Jeremy Yap, Union Square Ventures",16
Nextdoor,https://www.crunchbase.com/organization/nextdoor,"Communities, GovTech, Internet, Privacy, Private Social Networking, Social Media","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2010-01-01,year,,,2019-05-14,123000000,USD,123000000,Series F,123000000,USD,123000000,Late Stage Venture,"Comcast Ventures, Insight Partners, Redpoint, Tiger Global Management, Valor Capital Group",22
Privitar,https://www.crunchbase.com/organization/privitar,"Big Data, Cyber Security, Enterprise Software, Privacy","London, England, United Kingdom",European Union (EU),2014-11-15,day,,,2019-06-10,40000000,USD,40000000,Series B,40000000,USD,40000000,Early Stage Venture,"Accel, Citigroup, IQ Capital, Partech, Salesforce Ventures",14
Aptible,https://www.crunchbase.com/organization/aptible,"Enterprise Software, Health Care, PaaS, Privacy, Security","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2013-04-01,day,,,2019-06-18,12000000,USD,12000000,Series A,12000000,USD,12000000,Early Stage Venture,"Maverick Ventures, Rock Health, Thrive Capital, Western Technology Investment, Y Combinator",9
DuckDuckGo,https://www.crunchbase.com/organization/duck-duck-go,"Internet, Privacy, Search Engine","Paoli, Pennsylvania, United States","Greater Philadelphia Area, Great Lakes, Northeastern US",2008-02-29,day,,,2018-08-21,10000000,USD,10000000,Venture - Series Unknown,10000000,USD,10000000,,"Joshua Schachter, Kal Vepuri, OMERS Ventures, Scott Banister, Union Square Ventures",8
Dashlane,https://www.crunchbase.com/organization/dashlane,"Cloud Computing, Identity Management, Payments, Privacy, Security, Software","New York, New York, United States","Greater New York Area, East Coast, Northeastern US",2009-07-06,day,,,2019-05-30,110000000,USD,110000000,Series D,110000000,USD,110000000,Late Stage Venture,"Bessemer Venture Partners, Hercules Capital, Inc., Sequoia Capital, Silicon Valley Bank, TransUnion",9
ForgeRock,https://www.crunchbase.com/organization/forgerock,"Cyber Security, Enterprise Software, Identity Management, Information Technology, Internet of Things, Privacy","San Francisco, California, United States","San Francisco Bay Area, West Coast, Western US",2010-02-01,day,,,2017-09-05,88000000,USD,88000000,Series D,88000000,USD,88000000,Late Stage Venture,"Accel, Foundation Capital, Kohlberg Kravis Roberts, Meritech Capital Partners",4
Telegram Messenger,https://www.crunchbase.com/organization/telegram-messenger,"Apps, Cyber Security, Desktop Apps, Messaging, Mobile, Mobile Apps, Privacy, Security, Social Media","London, England, United Kingdom",European Union (EU),2013-08-14,day,,,2018-03-29,850000000,USD,850000000,Initial Coin Offering,850000000,USD,850000000,,"Alexis Berthoud, Concentric, Dalma Capital, O.D. Kobo",4
